mode,n_samples,z_seed,rep,n_questions,concept_accuracy
sample_y,5,33,2,15,1.0
sample_y,5,33,3,11,1.0
sample_y,5,33,4,11,1.0
sample_y,5,34,0,16,1.0
sample_y,5,34,1,29,1.0
sample_y,5,34,2,15,1.0
sample_y,5,34,3,14,1.0
sample_y,5,34,4,22,1.0
sample_y,5,35,0,18,1.0
sample_y,5,35,1,21,0.8571428571428571
sample_y,5,35,2,28,1.0
sample_y,5,35,3,15,0.8571428571428571
sample_y,5,35,4,26,1.0
sample_y,5,36,0,30,0.8571428571428571
sample_y,5,36,1,23,1.0
sample_y,5,36,2,19,1.0
sample_y,5,36,3,27,0.8571428571428571
sample_y,5,36,4,24,1.0
sample_y,5,37,0,15,1.0
sample_y,5,37,1,28,0.8571428571428571
sample_y,5,37,2,19,1.0
sample_y,5,37,3,10,0.7142857142857143
sample_y,5,37,4,23,1.0
sample_y,5,38,0,20,1.0
sample_y,5,38,1,24,1.0
sample_y,5,38,2,23,0.8571428571428571
sample_y,5,38,3,16,1.0
sample_y,5,38,4,28,0.7142857142857143
sample_y,5,39,0,24,1.0
sample_y,5,39,1,17,1.0
sample_y,5,39,2,18,1.0
sample_y,5,39,3,28,0.7142857142857143
sample_y,5,39,4,23,1.0
sample_y,5,40,0,20,1.0
sample_y,5,40,1,15,1.0
sample_y,5,40,2,28,0.8571428571428571
sample_y,5,40,3,17,1.0
sample_y,5,40,4,17,1.0
sample_y,5,41,0,15,1.0
sample_y,5,41,1,30,0.8571428571428571
sample_y,5,41,2,30,0.8571428571428571
sample_y,5,41,3,27,0.8571428571428571
sample_y,5,41,4,25,0.8571428571428571
sample_y,5,42,0,16,1.0
sample_y,5,42,1,16,1.0
sample_y,5,42,2,18,1.0
sample_y,5,42,3,21,1.0
sample_y,5,42,4,22,1.0
sample_y,5,43,0,23,1.0
sample_y,5,43,1,19,1.0
sample_y,5,43,2,28,1.0
sample_y,5,43,3,19,1.0
sample_y,5,43,4,30,0.7142857142857143
sample_y,5,44,0,21,1.0
sample_y,5,44,1,21,1.0
sample_y,5,44,2,23,1.0
sample_y,5,44,3,22,1.0
sample_y,5,44,4,18,1.0
sample_y,5,45,0,16,1.0
sample_y,5,45,1,18,1.0
sample_y,5,45,2,26,0.8571428571428571
sample_y,5,45,3,19,1.0
sample_y,5,45,4,24,1.0
sample_y,5,46,0,22,1.0
sample_y,5,46,1,18,1.0
sample_y,5,46,2,20,1.0
sample_y,5,46,3,18,1.0
sample_y,5,46,4,27,1.0
sample_y,5,47,0,21,1.0
sample_y,5,47,1,21,1.0
sample_y,5,47,2,28,0.8571428571428571
sample_y,5,47,3,21,1.0
sample_y,5,47,4,30,1.0
sample_y,5,48,0,23,1.0
sample_y,5,48,1,17,1.0
sample_y,5,48,2,26,1.0
sample_y,5,48,3,16,1.0
sample_y,5,48,4,19,1.0
sample_y,5,49,0,15,1.0
sample_y,5,49,1,18,1.0
sample_y,5,49,2,19,1.0
sample_y,5,49,3,23,0.8571428571428571
sample_y,5,49,4,21,1.0
sample_y,10,0,0,16,0.8571428571428571
sample_y,10,0,1,9,1.0
sample_y,10,0,2,10,1.0
sample_y,10,0,3,8,1.0
sample_y,10,0,4,10,1.0
sample_y,10,1,0,13,1.0
sample_y,10,1,1,13,1.0
sample_y,10,1,2,16,1.0
sample_y,10,1,3,18,1.0
sample_y,10,1,4,12,1.0
sample_y,10,2,0,26,1.0
sample_y,10,2,1,26,0.8571428571428571
sample_y,10,2,2,18,0.8571428571428571
sample_y,10,2,3,19,1.0
sample_y,10,2,4,30,1.0
sample_y,10,3,0,14,1.0
