group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,26,True,0
valide (z_true dans Z),probability_statistics,20,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,11,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base,25,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,30,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry,18,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,27,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,20,True,0
valide (z_true dans Z),arithmetic_base|geometry,17,False,2
valide (z_true dans Z),algebra_linear|analytic_geometry,24,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,25,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,29,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,27,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,16,True,0
valide (z_true dans Z),(vide),8,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry,11,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear,11,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,24,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,21,True,0
valide (z_true dans Z),algebra_linear|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,15,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,25,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,27,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,23,False,1
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry,26,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,23,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,13,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,15,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,22,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,26,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,14,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,28,False,2
