policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,23,3,2.016379
adaptatif,23,4,2.631933
adaptatif,23,5,3.595626
adaptatif,23,6,4.054270
adaptatif,23,7,4.493182
adaptatif,23,8,4.921387
adaptatif,23,9,5.530473
adaptatif,23,10,5.789654
adaptatif,23,11,6.043197
adaptatif,24,0,0.000000
adaptatif,24,1,0.870585
adaptatif,24,2,1.496332
adaptatif,24,3,2.329735
adaptatif,24,4,3.119670
adaptatif,24,5,3.643566
adaptatif,24,6,4.142693
adaptatif,24,7,4.759632
adaptatif,24,8,5.221747
adaptatif,24,9,5.553529
adaptatif,24,10,5.988638
adaptatif,24,11,6.419991
adaptatif,24,12,6.851142
adaptatif,24,13,7.662297
adaptatif,24,14,8.231242
adaptatif,24,15,8.612777
adaptatif,25,0,0.000000
adaptatif,25,1,0.600697
adaptatif,25,2,1.226444
adaptatif,25,3,1.841998
adaptatif,25,4,2.631933
adaptatif,25,5,3.131060
adaptatif,25,6,3.747999
adaptatif,25,7,4.715061
adaptatif,25,8,5.681819
adaptatif,25,9,6.188884
adaptatif,25,10,6.816733
adaptatif,25,11,7.755836
adaptatif,25,12,8.421221
adaptatif,25,13,9.380932
adaptatif,25,14,10.097147
adaptatif,25,15,10.496591
adaptatif,25,16,11.029491
adaptatif,25,17,11.367681
adaptatif,25,18,11.789553
adaptatif,25,19,12.031716
adaptatif,25,20,12.343054
adaptatif,25,21,12.739356
adaptatif,25,22,13.319480
adaptatif,25,23,13.509057
adaptatif,25,24,13.675907
adaptatif,25,25,13.777636
adaptatif,25,26,13.879186
adaptatif,25,27,13.995979
adaptatif,26,0,0.000000
adaptatif,26,1,0.600697
adaptatif,26,2,1.226444
adaptatif,26,3,1.841998
adaptatif,26,4,2.631933
adaptatif,26,5,3.131060
adaptatif,26,6,3.747999
adaptatif,26,7,4.210115
adaptatif,26,8,4.668759
adaptatif,26,9,5.631841
adaptatif,26,10,6.259690
adaptatif,26,11,7.198793
adaptatif,26,12,7.626999
adaptatif,26,13,8.159900
adaptatif,26,14,9.052696
adaptatif,26,15,9.663840
adaptatif,26,16,10.629123
adaptatif,26,17,11.155023
