student,theta_true,policy,n_questions,concept_accuracy
127,0.25845279091298756,kst_adaptatif,30,0.42857142857142855
127,0.25845279091298756,cat_irt,30,0.8571428571428571
128,-0.5685494541476426,kst_adaptatif,30,0.2857142857142857
128,-0.5685494541476426,cat_irt,30,0.8571428571428571
129,-1.0298044380114637,kst_adaptatif,26,1.0
129,-1.0298044380114637,cat_irt,30,1.0
130,-1.0430010800715654,kst_adaptatif,19,0.5714285714285714
130,-1.0430010800715654,cat_irt,30,1.0
131,0.26841707970891465,kst_adaptatif,30,0.5714285714285714
131,0.26841707970891465,cat_irt,30,1.0
132,0.35867194917034445,kst_adaptatif,30,0.2857142857142857
132,0.35867194917034445,cat_irt,30,0.14285714285714285
133,1.3224574697668332,kst_adaptatif,17,1.0
133,1.3224574697668332,cat_irt,30,1.0
134,-0.013914668524093734,kst_adaptatif,27,1.0
134,-0.013914668524093734,cat_irt,30,0.8571428571428571
135,1.0418397592128221,kst_adaptatif,26,0.8571428571428571
135,1.0418397592128221,cat_irt,30,1.0
136,1.4022648267725224,kst_adaptatif,17,1.0
136,1.4022648267725224,cat_irt,30,1.0
137,1.1501656361496921,kst_adaptatif,27,0.7142857142857143
137,1.1501656361496921,cat_irt,30,1.0
138,-2.3653039062769743,kst_adaptatif,11,1.0
138,-2.3653039062769743,cat_irt,30,1.0
139,1.228683719203421,kst_adaptatif,30,0.5714285714285714
139,1.228683719203421,cat_irt,30,1.0
140,0.33962000824864264,kst_adaptatif,25,0.8571428571428571
140,0.33962000824864264,cat_irt,30,1.0
141,0.42377135285334727,kst_adaptatif,27,0.8571428571428571
141,0.42377135285334727,cat_irt,30,0.8571428571428571
142,0.37122741773625884,kst_adaptatif,30,0.5714285714285714
142,0.37122741773625884,cat_irt,30,0.8571428571428571
143,0.3827571602707609,kst_adaptatif,30,0.5714285714285714
143,0.3827571602707609,cat_irt,30,0.8571428571428571
144,0.3194142202523809,kst_adaptatif,30,0.8571428571428571
144,0.3194142202523809,cat_irt,30,1.0
145,-0.35891330853862047,kst_adaptatif,30,0.42857142857142855
145,-0.35891330853862047,cat_irt,30,0.7142857142857143
146,-1.9016352983759945,kst_adaptatif,30,1.0
146,-1.9016352983759945,cat_irt,30,1.0
147,-0.10891472790742324,kst_adaptatif,30,0.7142857142857143
147,-0.10891472790742324,cat_irt,30,1.0
148,-0.8037318485206766,kst_adaptatif,18,0.8571428571428571
148,-0.8037318485206766,cat_irt,30,1.0
149,1.0801634125378852,kst_adaptatif,27,0.8571428571428571
149,1.0801634125378852,cat_irt,30,1.0
150,-0.2887665059953775,kst_adaptatif,23,0.5714285714285714
